,196,Chris Herndon IV,TE20,4,NYJ,,1#
,197,Jerick McKinnon,RB66,4,SF,,1#
,198,Nick Foles,QB27,10,JAC,,1#
,199,Marquise Brown,WR69,8,BAL,,1#
,200,Buffalo (BUF),DST12,6,,,1#
,201,Mason Crosby,K6,11,GB,,2#
,202,Zay Jones,WR70,6,BUF,,2#
,203,Noah Fant,TE21,10,DEN,,2#
,204,Jake Elliott,K7,10,PHI,,2#
,205,Marcus Mariota,QB28,11,TEN,,2#
,206,Trey Quinn,WR71,10,WAS,,2#
,207,Ty Montgomery,RB67,4,NYJ,,2#
,208,Ka'imi Fairbairn,K8,10,HOU,,2#
,209,Mecole Hardman,WR72,12,KC,,2#
,210,Robert Foster,WR73,6,BUF,,2#
,211,Jack Doyle,TE22,6,IND,,2#
,212,Dallas (DAL),DST13,8,,,2#
,213,Rex Burkhead,RB68,10,NE,,2#
,214,Randall Cobb,WR74,8,DAL,,2#
,215,Taylor Gabriel,WR75,6,CHI,,2#
,216,Philadelphia (PHI),DST14,10,,,2#
,217,Brett Maher,K9,8,DAL,,2#
,218,Dallas Goedert,TE23,10,PHI,,2#
,219,Michael Badgley,K10,12,LAC,,2#
,220,Matt Prater,K11,5,DET,,2#
,221,Robbie Gould,K12,4,SF,,2#
,222,Parris Campbell,WR76,6,IND,,2#
,223,Joe Flacco,QB29,10,DEN,,2#
,224,Andy Isabella,WR77,12,ARI,,2#
,225,Cole Beasley,WR78,6,BUF,,2#
,226,Pittsburgh (PIT),DST15,7,,,2#
,227,Gus Edwards,RB69,8,BAL,,2#
,228,Ted Ginn,WR79,9,NO,,2#
,229,Ryquell Armstead,RB70,10,JAC,,2#
,230,Marqise Lee,WR80,10,JAC,,2#
,231,Frank Gore,RB71,6,BUF,,2#
,232,A.J. Brown,WR81,11,TEN,,2#
,233,Nelson Agholor,WR82,10,PHI,,2#
,234,Seattle (SEA),DST16,11,,,2#
,235,David Moore,WR83,11,SEA,,2#
,236,Adam Vinatieri,K13,6,IND,,2#
,,Tyler Eifert,TE25,9,CIN,,2#
,,Tennessee (TEN),DST17,11,,,2#
,,Eli Manning,QB30,11,NYG,,2#
,,D.J. Chark,WR84,10,JAC,,2#
,,Rashard Higgins,WR85,7,CLE,,2#
,,Mike Gesicki,TE26,5,MIA,,2#
,,T.J. Yeldon,RB72,6,BUF,,2#
,,Indianapolis (IND),DST18,6,,,2#
,,Ryan Fitzpatrick,QB31,5,MIA,,2#
